id,film_id,negara_id
1,1,200
2,2,81
3,3,200
4,4,200
5,5,200
6,6,200
7,7,200
8,8,200
9,9,199
10,10,200
11,11,200
12,12,154
13,13,199
14,14,200
15,15,200
16,16,200
17,17,200
18,18,200
19,19,200
20,20,200
21,21,200
22,22,200
23,23,200
24,24,200
25,25,200
26,26,200
27,27,200
28,28,199
29,29,200
30,30,200
31,31,200
32,32,200
33,33,200
34,34,200
35,35,200
36,36,200
37,37,200
38,38,200
39,39,200
40,40,200
41,41,200
42,42,200
43,43,82
44,44,200
45,45,200
46,46,200
47,47,200
48,48,200
49,49,200
50,50,200
51,51,90
52,52,90
53,53,90
54,54,90
55,55,90
56,56,90
57,57,90
58,58,90
59,59,90
60,60,90
61,61,90
62,62,90
63,63,90
64,64,90
65,65,90
66,66,90
67,67,90
68,68,90
69,69,90
70,70,90
71,71,90
72,72,90
73,73,90
74,74,90
75,75,90
76,76,90
77,77,90
78,78,90
79,79,90
80,80,90
81,81,90
82,82,90
83,83,90
84,84,90
85,85,90
86,86,90
87,87,90
88,88,90
89,89,90
90,90,90
91,91,90
92,92,90
93,93,90
94,94,90
95,95,90
96,96,90
97,97,90
98,98,90
99,99,90
100,100,90
